DateTime,baseline_grid_to_plant_kW,flexible_grid_to_plant_kW,electricity_TOU,electricity_demand1
2021-07-02 00:00:00,106.43863113896096,74.35881944100991,0.0446782,4.21
2021-07-02 01:00:00,107.7734358828182,82.361373898271,0.0446782,4.21
2021-07-02 02:00:00,107.06760216385662,74.28999840934489,0.0446782,4.21
2021-07-02 03:00:00,90.2567446794392,74.27056182978274,0.0446782,4.21
2021-07-02 04:00:00,80.33058542087886,74.54960716953636,0.0446782,4.21
2021-07-02 05:00:00,58.35880953089501,88.04767802775234,0.0446782,4.21
2021-07-02 06:00:00,80.38349295507551,58.46339735713278,0.0446782,4.21
2021-07-02 07:00:00,58.47992203814479,74.47622202153056,0.0446782,4.21
2021-07-02 08:00:00,74.43755748436648,90.36980167977616,0.0446782,4.21
2021-07-02 09:00:00,47.94964753868955,74.42144320662197,0.0446782,4.21
2021-07-02 10:00:00,74.59111426865474,74.5548369385069,0.0446782,4.21
2021-07-02 11:00:00,74.7335966451448,82.53793492026878,0.0446782,4.21
2021-07-02 12:00:00,74.86328890734512,74.78147535211943,0.0446782,4.21
2021-07-02 13:00:00,74.87462845750997,74.79071625670261,0.0446782,4.21
2021-07-02 14:00:00,59.00216247500031,58.85842156488295,0.0446782,4.21
2021-07-02 15:00:00,74.78038350921005,74.70864916289007,0.0446782,4.21
2021-07-02 16:00:00,58.5513628668479,90.37033471896684,0.0446782,4.21
2021-07-02 17:00:00,47.79421623461083,74.12397565017265,0.0446782,4.21
2021-07-02 18:00:00,112.5345810979245,86.51967460528851,0.0446782,4.21
2021-07-02 19:00:00,47.806768881180105,90.37033472008022,0.0446782,4.21
2021-07-02 20:00:00,90.41869415218726,80.1392024091518,0.0446782,4.21
2021-07-02 21:00:00,79.90418158575795,81.50848712927424,0.0446782,4.21
2021-07-02 22:00:00,113.93646622995728,90.3703347189662,0.0446782,4.21
2021-07-02 23:00:00,87.63063881843247,88.29315042212852,0.0446782,4.21
